youtube_id,title,duration_sec,guessed_tournament_id,tournament_guess_label,year,kind,stage,leg,score,player_a_guess,player_a_id_guess,player_b_guess,player_b_id_guess,game_id_guess,source,source_channel,source_playlist,relation_group,relation,featured_final,confidence,verified,notes,external_url
rbAjYQzxx3E,Costas vs Antonis 3-4-2011,670,499,Athens LXXVIII,2011,match,,,5 - 4,Kostas O,244,Antonis T,37,18872,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
rlUSam_X2BI,"Kick Off 2 Amiga, WC 2005 Cologne, Third Place Final 1st leg, Klaus Lo - Alkis P (4 - 9)",683,169,World Cup V (Cologne),2005,match,final,,4 - 9,Klaus Lo,237,Alkis P,14,6584,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.kickoffworld.net/Download/media/2005WorldCup/KOA_WC2005_3rd4th_Game1_KlausVsAlkis.wmv
rnEzge6zaQc,KOA_WC2007_9_Final_Part2_Spyros_vs_Gianni,743,,,,stream,final,,,,,,,,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,false,low,,Also in: ko2cv_channel,
rqXl5Io_tes,Injured Fisher,12,,,,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,low,,,
sAaNK85KZL4,"Kick Off 2 Amiga, WC 2005 Cologne, Semi Final 1st leg, Alkis P - Gianluca T (1 - 10)",662,169,World Cup V (Cologne),2005,match,semi,,1 - 10,Alkis P,14,Gianluca T,148,6579,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.kickoffworld.net/Download/media/2005WorldCup/KOA_WC2005_SemiA_Game1_AlkisVsGianluca.wmv
sGlHoDTbKCE,UKC08_CamberVsSwift.avi,728,315,Birmingham VIII,2008,match,,,3-3,Steve C,421,Robert S,386,12608,ko2cv_channel,ko2cv,,,,false,low,Y,Filename CamberVsSwift is wrong; Steve C vs Robert S,
sb4jYnARFHk,Kick Off 2 World Cup 2013 - Part 03 - Penalty Shootout of Shame - PeterS vs DinoD,333,569,World Cup XIII (Voitsberg),2013,stream,shame,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
scSdq-IQXIE,Kick Off 2 World Cup 2023   Silver Cup Fred vs Robert,987,16,World Cup XXI (Torremolinos),2023,match,silver,,,Frederic G,127,Robert S,386,26267,ko2cv_channel,ko2cv,,,,false,low,,,
sl3GF-erxx0,Thor becomes KO2 champion 2016,98,596,World Cup XVI (Milan),2016,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
t4el3un-DyU,Kick Off 2 World Cup 2013 - Part 08 - AndyG vs ChrisD (8-2),703,569,World Cup XIII (Voitsberg),2013,stream,,,8-2,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
tEb--soimgs,"Kick Off 2 Amiga, WC 2001 Dartford, The Final, Mark P - Alkis P (3 - 6)",1294,26,World Cup I (Dartford),2001,match,final,,3 - 6,Mark P,284,Alkis P,14,143,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: alkelele_channel, forum_index",
tOCX7XY0Lgg,Kick Off 2 World Cup 2015 - 3rd place - Oliver vs Chris,396,585,World Cup XV (Düsseldorf),2015,match,bronze,,,Oliver St,345,Christopher D,66,23049,ko2cv_channel,ko2cv,,,,false,low,,,
tRUKdwvmeu4,"Kick Off 2 Amiga, WC 2004 Milano, Semi final 2nd leg, Gianluca T - Nikos A (4 - 4)",688,140,World Cup IV (Milan),2004,match,semi,,4 - 4,Gianluca T,148,Nikos A,338,4901,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Milan2004/videos/WC2004_Semi1A_SteveC_Luigi.wmv
uDm-79VEnZU,Alkis vs Robert  3-4-2011,780,499,Athens LXXVIII,2011,match,,,2 - 2,Alkis P,14,Robert S,386,18924,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
unBHmEJlK_w,WC2009 Presentations Part 1,607,418,World Cup IX (Voitsberg),2009,ceremony,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
unbUMfFGh_Y,Panasonic vs Alkis 3-4-2011,685,499,Athens LXXVIII,2011,match,,,3 - 2,Panayotis P,354,Alkis P,14,18889,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
vIHepaCINjM,UK Kick Off 2 UKC 2012 Andy 4-7 Dagh.mp4,650,554,World Cup XII (Milan),2012,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
